Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
;;;September;104.3;e;97.1;e;104.3;e;97.1;e;100.0;e;38.9;e
;;;October;104.3;e;116.2;e;104.3;e;116.3;e;100.0;e;38.9;e
;;;November;104.3;e;147.4;e;104.3;e;147.4;e;100.0;e;38.9;e
;;;December;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;2023;January;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;;February;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;;March;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;;April;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;;May;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;;June;104.7;e;112.6;e;104.7;e;112.6;e;100.0;e;38.9;e
;;;July;104.7;e;97.5;e;104.7;e;97.5;e;100.0;e;38.9;e
;;;August;106.0;e;99.9;e;106.0;e;99.9;e;100.0;e;38.9;e
;;;September;105.9;e;99.4;e;105.9;e;99.4;e;100.0;e;38.9;e
;;;October;105.9;e;118.9;e;105.9;e;118.9;e;100.0;e;38.9;e
;;;November;105.9;e;150.8;e;105.9;e;150.8;e;100.0;e;38.9;e
;;;December;107.4;e;100.1;e;107.4;e;100.1;e;100.0;e;38.9;e
;;2024;January;107.4;e;100.1;e;107.4;e;100.1;e;100.0;e;38.9;e
;;;February;107.4;e;119.2;e;107.4;e;119.2;e;100.0;e;38.9;e
;;;March;107.4;e;100.1;e;107.4;e;100.1;e;100.0;e;38.9;e
;;;April;107.4;e;100.1;e;107.4;e;100.1;e;100.0;e;38.9;e
;;;May;107.4;e;100.1;e;107.4;e;100.1;e;100.0;e;38.9;e
;;;June;107.4;e;115.4;e;107.4;e;115.4;e;100.0;e;38.9;e
;;;July;107.4;e;100.1;e;107.4;e;100.1;e;100.0;e;38.9;e
;;;August;108.1;e;100.6;e;108.1;e;100.6;e;100.0;e;38.9;e
;;;September;108.1;e;100.6;e;108.1;e;100.6;e;100.0;e;38.9;e
;;;October;108.1;e;121.5;e;108.1;e;121.5;e;100.0;e;38.9;e
;;;November;108.1;e;152.6;e;108.1;e;152.6;e;100.0;e;38.9;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-06;Extraction of crude petroleum and natural gas;2010;January;78.6;e;68.7;e;78.6;e;68.7;e;100.0;e;38.0;e
;;;February;78.6;e;68.7;e;78.6;e;68.7;e;100.0;e;38.0;e
;;;March;78.8;e;68.8;e;78.8;e;68.8;e;100.0;e;38.0;e
;;;April;78.8;e;87.5;e;78.8;e;87.5;e;100.0;e;38.0;e
;;;May;78.8;e;72.7;e;78.8;e;72.7;e;100.0;e;38.0;e
;;;June;80.5;e;96.8;e;80.5;e;96.8;e;100.0;e;38.0;e
;;;July;80.5;e;70.2;e;80.5;e;70.2;e;100.0;e;38.0;e
;;;August;80.5;e;70.2;e;80.5;e;70.2;e;100.0;e;38.0;e
;;;September;80.5;e;70.2;e;80.5;e;70.2;e;100.0;e;38.0;e
;;;October;80.5;e;96.8;e;80.5;e;96.8;e;100.0;e;38.0;e
;;;November;81.3;e;116.2;e;81.3;e;116.2;e;100.0;e;38.0;e
;;;December;81.3;e;70.8;e;81.3;e;70.8;e;100.0;e;38.0;e
;;2011;January;81.3;e;70.8;e;81.3;e;70.8;e;100.0;e;38.0;e
;;;February;81.3;e;70.8;e;81.3;e;70.8;e;100.0;e;38.0;e
;;;March;81.3;e;70.8;e;81.3;e;70.8;e;100.0;e;38.0;e
;;;April;81.3;e;90.1;e;81.3;e;90.1;e;100.0;e;38.0;e
;;;May;81.3;e;75.0;e;81.3;e;75.0;e;100.0;e;38.0;e
;;;June;81.6;e;98.5;e;81.6;e;98.5;e;100.0;e;38.0;e
;;;July;82.9;e;72.4;e;82.9;e;72.4;e;100.0;e;38.0;e
;;;August;82.9;e;72.4;e;82.9;e;72.4;e;100.0;e;38.0;e
;;;September;82.9;e;72.4;e;82.9;e;72.4;e;100.0;e;38.0;e
;;;October;83.9;e;101.2;e;83.9;e;101.2;e;100.0;e;38.0;e
;;;November;83.9;e;120.0;e;83.9;e;120.0;e;100.0;e;38.0;e
;;;December;83.9;e;73.2;e;83.9;e;73.2;e;100.0;e;38.0;e
;;2012;January;83.9;e;73.2;e;83.9;e;73.2;e;100.0;e;38.0;e
;;;February;83.9;e;73.2;e;83.9;e;73.2;e;100.0;e;38.0;e
;;;March;83.9;e;73.2;e;83.9;e;73.2;e;100.0;e;38.0;e
;;;April;83.9;e;92.4;e;83.9;e;92.4;e;100.0;e;38.0;e
;;;May;83.9;e;77.3;e;83.9;e;77.3;e;100.0;e;38.0;e
;;;June;84.4;e;101.6;e;84.4;e;101.6;e;100.0;e;38.0;e
;;;July;84.4;e;73.6;e;84.4;e;73.6;e;100.0;e;38.0;e
;;;August;84.4;e;73.6;e;84.4;e;73.6;e;100.0;e;38.0;e
;;;September;84.4;e;79.2;e;84.4;e;79.2;e;100.0;e;38.0;e
;;;October;84.4;e;101.6;e;84.4;e;101.6;e;100.0;e;38.0;e
;;;November;84.4;e;121.0;e;84.4;e;121.0;e;100.0;e;38.0;e
;;;December;84.4;e;73.6;e;84.4;e;73.6;e;100.0;e;38.0;e
;;2013;January;85.7;e;74.7;e;85.7;e;74.7;e;100.0;e;38.0;e
;;;February;85.7;e;74.7;e;85.7;e;74.7;e;100.0;e;38.0;e
;;;March;85.7;e;74.7;e;85.7;e;74.7;e;100.0;e;38.0;e
;;;April;86.7;e;100.1;e;86.7;e;100.1;e;100.0;e;38.0;e
;;;May;86.7;e;79.8;e;86.7;e;79.8;e;100.0;e;38.0;e
;;;June;86.7;e;104.4;e;86.7;e;104.4;e;100.0;e;38.0;e
;;;July;86.7;e;75.6;e;86.7;e;75.6;e;100.0;e;38.0;e
;;;August;86.7;e;75.6;e;86.7;e;75.6;e;100.0;e;38.0;e
;;;September;87.1;e;76.0;e;87.1;e;76.0;e;100.0;e;38.0;e
;;;October;87.1;e;104.8;e;87.1;e;104.8;e;100.0;e;38.0;e
;;;November;87.8;e;125.5;e;87.8;e;125.5;e;100.0;e;38.0;e
;;;December;87.8;e;78.0;e;87.8;e;78.0;e;100.0;e;38.0;e
;;2014;January;87.8;e;76.6;e;87.8;e;76.6;e;100.0;e;38.0;e
;;;February;87.8;e;78.2;e;87.8;e;78.2;e;100.0;e;38.0;e
;;;March;87.8;e;76.6;e;87.8;e;76.6;e;100.0;e;38.0;e
;;;April;89.1;e;100.5;e;89.1;e;100.5;e;100.0;e;38.0;e
;;;May;89.1;e;79.6;e;89.1;e;79.6;e;100.0;e;38.0;e
;;;June;89.1;e;107.2;e;89.1;e;107.2;e;100.0;e;38.0;e
;;;July;89.1;e;77.7;e;89.1;e;77.7;e;100.0;e;38.0;e
;;;August;89.1;e;77.7;e;89.1;e;77.7;e;100.0;e;38.0;e
;;;September;89.1;e;77.7;e;89.1;e;77.7;e;100.0;e;38.0;e
;;;October;89.1;e;107.2;e;89.1;e;107.2;e;100.0;e;38.0;e
;;;November;89.1;e;127.7;e;89.1;e;127.7;e;100.0;e;38.0;e
;;;December;89.1;e;77.7;e;89.1;e;77.7;e;100.0;e;38.0;e
;;2015;January;88.9;e;79.5;e;88.9;e;79.5;e;100.0;e;37.8;e
;;;February;90.0;e;81.1;e;90.0;e;81.1;e;100.0;e;37.8;e
;;;March;90.0;e;80.5;e;90.0;e;80.5;e;100.0;e;37.8;e
;;;April;90.0;e;88.8;e;90.0;e;88.8;e;100.0;e;37.8;e
;;;May;90.1;e;88.0;e;90.1;e;88.0;e;100.0;e;37.8;e
;;;June;90.1;e;94.9;e;90.1;e;94.9;e;100.0;e;37.8;e
;;;July;90.1;e;80.6;e;90.1;e;80.6;e;100.0;e;37.8;e
;;;August;90.1;e;80.6;e;90.1;e;80.6;e;100.0;e;37.8;e
;;;September;90.4;e;82.0;e;90.4;e;82.0;e;100.0;e;37.8;e
;;;October;90.4;e;80.9;e;90.4;e;80.9;e;100.0;e;37.8;e
;;;November;90.4;e;164.7;e;90.4;e;164.7;e;100.0;e;37.8;e
;;;December;90.9;e;81.3;e;90.9;e;81.3;e;100.0;e;37.8;e
;;2016;January;91.0;e;81.4;e;91.0;e;81.4;e;100.0;e;37.8;e
;;;February;91.0;e;81.4;e;91.0;e;81.4;e;100.0;e;37.8;e
;;;March;91.0;e;81.4;e;91.0;e;81.4;e;100.0;e;37.8;e
;;;April;91.0;e;95.9;e;91.0;e;95.9;e;100.0;e;37.8;e
;;;May;91.9;e;89.6;e;91.9;e;89.6;e;100.0;e;37.8;e
;;;June;91.9;e;90.0;e;91.9;e;90.0;e;100.0;e;37.8;e
;;;July;91.9;e;82.2;e;91.9;e;82.2;e;100.0;e;37.8;e
;;;August;91.9;e;82.2;e;91.9;e;82.2;e;100.0;e;37.8;e
;;;September;91.9;e;82.2;e;91.9;e;82.2;e;100.0;e;37.8;e
;;;October;91.9;e;82.2;e;91.9;e;82.2;e;100.0;e;37.8;e
;;;November;91.9;e;167.4;e;91.9;e;167.4;e;100.0;e;37.8;e
;;;December;91.9;e;82.2;e;91.9;e;82.2;e;100.0;e;37.8;e
;;2017;January;92.5;e;82.9;e;92.5;e;82.9;e;100.0;e;37.8;e
;;;February;92.5;e;83.9;e;92.5;e;83.9;e;100.0;e;37.8;e
;;;March;92.5;e;82.9;e;92.5;e;82.9;e;100.0;e;37.8;e
;;;April;93.0;e;101.4;e;93.0;e;101.4;e;100.0;e;37.8;e
;;;May;93.0;e;90.6;e;93.0;e;90.6;e;100.0;e;37.8;e
;;;June;93.0;e;91.1;e;93.0;e;91.1;e;100.0;e;37.8;e
;;;July;94.1;e;85.2;e;94.1;e;85.2;e;100.0;e;37.8;e
;;;August;94.1;e;84.2;e;94.1;e;84.2;e;100.0;e;37.8;e
;;;September;94.1;e;84.2;e;94.1;e;84.2;e;100.0;e;37.8;e
;;;October;94.1;e;84.2;e;94.1;e;84.2;e;100.0;e;37.8;e
;;;November;94.1;e;171.5;e;94.1;e;171.5;e;100.0;e;37.8;e
;;;December;94.1;e;84.2;e;94.1;e;84.2;e;100.0;e;37.8;e
;;2018;January;94.1;e;84.2;e;94.1;e;84.2;e;100.0;e;37.8;e
;;;February;94.1;e;84.2;e;94.1;e;84.2;e;100.0;e;37.8;e
;;;March;95.2;e;86.7;e;95.2;e;86.7;e;100.0;e;37.8;e
;;;April;95.2;e;100.0;e;95.2;e;100.0;e;100.0;e;37.8;e
;;;May;95.2;e;93.1;e;95.2;e;93.1;e;100.0;e;37.8;e
;;;June;95.2;e;93.1;e;95.2;e;93.1;e;100.0;e;37.8;e
;;;July;95.2;e;85.3;e;95.2;e;85.3;e;100.0;e;37.8;e
;;;August;96.3;e;86.2;e;96.3;e;86.2;e;100.0;e;37.8;e
;;;September;96.3;e;86.2;e;96.3;e;86.2;e;100.0;e;37.8;e
;;;October;96.3;e;86.2;e;96.3;e;86.2;e;100.0;e;37.8;e
;;;November;96.3;e;175.5;e;96.3;e;175.5;e;100.0;e;37.8;e
;;;December;96.3;e;86.2;e;96.3;e;86.2;e;100.0;e;37.8;e
;;2019;January;96.5;e;86.4;e;96.5;e;86.4;e;100.0;e;37.8;e
;;;February;96.5;e;86.4;e;96.5;e;86.4;e;100.0;e;37.8;e
;;;March;96.5;e;86.4;e;96.5;e;86.4;e;100.0;e;37.8;e
;;;April;96.5;e;101.2;e;96.5;e;101.2;e;100.0;e;37.8;e
;;;May;96.5;e;94.8;e;96.5;e;94.8;e;100.0;e;37.8;e
;;;June;98.1;e;99.6;e;98.1;e;99.6;e;100.0;e;37.8;e
;;;July;98.1;e;87.7;e;98.1;e;87.7;e;100.0;e;37.8;e
;;;August;98.1;e;87.7;e;98.1;e;87.7;e;100.0;e;37.8;e
;;;September;98.1;e;87.7;e;98.1;e;87.7;e;100.0;e;37.8;e
;;;October;99.3;e;88.8;e;99.3;e;88.8;e;100.0;e;37.8;e
;;;November;99.3;e;181.0;e;99.3;e;181.0;e;100.0;e;37.8;e
;;;December;99.3;e;88.8;e;99.3;e;88.8;e;100.0;e;37.8;e
;;2020;January;98.8;e;87.8;e;98.8;e;87.8;e;100.0;e;38.0;e
;;;February;98.8;e;87.8;e;98.8;e;87.8;e;100.0;e;38.0;e
;;;March;98.8;e;87.8;e;98.8;e;87.8;e;100.0;e;38.0;e
;;;April;99.7;e;105.1;e;99.7;e;105.1;e;100.0;e;38.0;e
;;;May;100.2;e;99.2;e;100.2;e;99.2;e;100.0;e;38.0;e
;;;June;100.2;e;110.9;e;100.2;e;110.9;e;100.0;e;38.0;e
;;;July;100.2;e;89.1;e;100.2;e;89.1;e;100.0;e;38.0;e
;;;August;100.7;e;89.9;e;100.7;e;89.9;e;100.0;e;38.0;e
;;;September;100.7;e;89.5;e;100.7;e;89.5;e;100.0;e;38.0;e
;;;October;100.7;e;89.5;e;100.7;e;89.5;e;100.0;e;38.0;e
;;;November;100.7;e;174.1;e;100.7;e;174.1;e;100.0;e;38.0;e
;;;December;100.7;e;89.5;e;100.7;e;89.5;e;100.0;e;38.0;e
;;2021;January;101.3;e;90.0;e;101.3;e;90.0;e;100.0;e;38.0;e
;;;February;101.3;e;90.0;e;101.3;e;90.0;e;100.0;e;38.0;e
;;;March;102.0;e;91.8;e;102.0;e;91.8;e;100.0;e;38.0;e
;;;April;102.0;e;100.5;e;102.0;e;100.5;e;100.0;e;38.0;e
;;;May;102.0;e;100.8;e;102.0;e;100.8;e;100.0;e;38.0;e
;;;June;102.0;e;112.8;e;102.0;e;112.8;e;100.0;e;38.0;e
;;;July;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;August;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;September;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;October;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;November;102.0;e;176.4;e;102.0;e;176.4;e;100.0;e;38.0;e
;;;December;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;2022;January;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;February;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;March;102.0;e;90.6;e;102.0;e;90.6;e;100.0;e;38.0;e
;;;April;103.6;e;106.6;e;103.6;e;106.6;e;100.0;e;38.0;e
;;;May;103.6;e;102.3;e;103.6;e;102.3;e;100.0;e;38.0;e
;;;June;103.6;e;114.3;e;103.6;e;114.3;e;100.0;e;38.0;e
;;;July;104.9;e;93.2;e;104.3;e;92.7;e;99.5;e;37.8;e
;;;August;104.9;e;93.2;e;104.3;e;92.7;e;99.5;e;37.8;e
;;;September;106.4;e;97.2;e;105.8;e;96.7;e;99.5;e;37.8;e
;;;October;106.4;e;94.5;e;105.8;e;94.1;e;99.5;e;37.8;e
;;;November;106.4;e;184.1;e;105.8;e;183.2;e;99.5;e;37.8;e
;;;December;106.4;e;94.5;e;105.8;e;94.1;e;99.5;e;37.8;e
;;2023;January;106.4;e;94.5;e;105.8;e;94.1;e;99.5;e;37.8;e
;;;February;106.4;e;94.5;e;105.8;e;94.1;e;99.5;e;37.8;e
;;;March;106.4;e;94.5;e;105.8;e;94.1;e;99.5;e;37.8;e
;;;April;110.9;e;119.0;e;110.3;e;118.4;e;99.5;e;37.8;e
;;;May;110.9;e;98.5;e;110.3;e;98.0;e;99.5;e;37.8;e
;;;June;110.9;e;138.2;e;110.3;e;137.5;e;99.5;e;37.8;e
;;;July;110.9;e;98.5;e;110.3;e;98.0;e;99.5;e;37.8;e
;;;August;110.9;e;98.5;e;110.3;e;98.0;e;99.5;e;37.8;e
;;;September;110.9;e;98.5;e;110.3;e;98.0;e;99.5;e;37.8;e
;;;October;110.9;e;98.5;e;110.3;e;98.0;e;99.5;e;37.8;e
;;;November;112.8;e;195.2;e;112.2;e;194.3;e;99.5;e;37.8;e
;;;December;112.8;e;100.2;e;112.2;e;99.7;e;99.5;e;37.8;e
;;2024;January;112.8;e;110.1;e;112.2;e;109.6;e;99.5;e;37.8;e
;;;February;112.8;e;100.2;e;112.2;e;99.7;e;99.5;e;37.8;e
;;;March;114.0;e;101.3;e;113.4;e;100.8;e;99.5;e;37.8;e
;;;April;115.1;e;113.6;e;114.5;e;113.1;e;99.5;e;37.8;e
;;;May;115.1;e;102.2;e;114.5;e;101.7;e;99.5;e;37.8;e
;;;June;115.1;e;141.9;e;114.5;e;141.2;e;99.5;e;37.8;e
;;;July;115.1;e;102.2;e;114.5;e;101.7;e;99.5;e;37.8;e
;;;August;115.1;e;102.2;e;114.5;e;101.7;e;99.5;e;37.8;e
;;;September;115.1;e;102.2;e;114.5;e;101.7;e;99.5;e;37.8;e
;;;October;115.1;e;102.2;e;114.5;e;101.7;e;99.5;e;37.8;e
;;;November;115.1;e;199.2;e;114.5;e;198.2;e;99.5;e;37.8;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-08-01;Other mining a.quarrying, mining supp.service act.;2010;January;77.9;e;73.8;e;77.9;e;73.8;e;100.0;e;38.5;e
;;;February;77.9;e;73.4;e;77.9;e;73.4;e;100.0;e;38.5;e
;;;March;77.9;e;73.4;e;77.9;e;73.4;e;100.0;e;38.5;e
;;;April;78.3;e;73.8;e;78.3;e;73.8;e;100.0;e;38.5;e
;;;May;78.3;e;73.8;e;78.3;e;73.8;e;100.0;e;38.5;e
;;;June;78.3;e;94.8;e;78.3;e;94.7;e;100.0;e;38.5;e
;;;July;78.7;e;74.3;e;78.7;e;74.3;e;100.0;e;38.5;e
;;;August;78.7;e;74.3;e;78.7;e;74.3;e;100.0;e;38.5;e
;;;September;78.9;e;74.4;e;78.9;e;74.4;e;100.0;e;38.5;e
;;;October;79.1;e;75.3;e;79.1;e;75.3;e;100.0;e;38.5;e
;;;November;79.1;e;104.0;e;79.1;e;104.0;e;100.0;e;38.4;e
;;;December;79.1;e;73.5;e;79.1;e;73.5;e;100.0;e;38.4;e
;;2011;January;79.1;e;73.5;e;79.1;e;73.5;e;100.0;e;38.4;e
;;;February;79.3;e;73.6;e;79.3;e;73.6;e;100.0;e;38.4;e
;;;March;79.3;e;73.6;e;79.3;e;73.6;e;100.0;e;38.4;e
;;;April;79.5;e;73.9;e;79.5;e;73.8;e;100.0;e;38.4;e
;;;May;79.5;e;73.9;e;79.5;e;73.9;e;100.0;e;38.4;e
;;;June;79.8;e;90.2;e;79.8;e;90.2;e;100.0;e;38.4;e
;;;July;80.0;e;74.7;e;80.0;e;74.7;e;100.0;e;38.4;e
;;;August;80.1;e;75.0;e;80.1;e;75.0;e;100.0;e;38.4;e
;;;September;80.5;e;74.8;e;80.5;e;74.9;e;100.0;e;38.4;e
;;;October;80.6;e;75.3;e;80.7;e;75.3;e;100.0;e;38.4;e
;;;November;80.6;e;107.0;e;80.7;e;107.1;e;100.0;e;38.4;e
;;;December;80.8;e;75.0;e;80.8;e;75.0;e;100.0;e;38.4;e
;;2012;January;81.0;e;75.4;e;81.0;e;75.3;e;100.0;e;38.4;e
;;;February;81.8;e;76.0;e;81.8;e;76.0;e;100.0;e;38.4;e
;;;March;81.8;e;76.0;e;81.8;e;76.0;e;100.0;e;38.4;e
;;;April;82.2;e;76.4;e;82.2;e;76.4;e;100.0;e;38.4;e
;;;May;82.2;e;76.4;e;82.2;e;76.4;e;100.0;e;38.4;e
;;;June;82.4;e;92.7;e;82.5;e;92.6;e;100.0;e;38.4;e
;;;July;83.1;e;77.2;e;83.1;e;77.2;e;100.0;e;38.4;e
;;;August;83.1;e;77.2;e;83.1;e;77.2;e;100.0;e;38.4;e
;;;September;83.2;e;77.2;e;83.2;e;77.3;e;100.0;e;38.4;e
;;;October;83.3;e;77.4;e;83.3;e;77.4;e;100.0;e;38.4;e
;;;November;83.4;e;110.6;e;83.4;e;110.6;e;100.0;e;38.4;e
;;;December;83.4;e;77.5;e;83.4;e;77.5;e;100.0;e;38.4;e
;;2013;January;83.5;e;77.7;e;83.5;e;77.6;e;100.0;e;38.4;e
;;;February;83.5;e;77.7;e;83.5;e;77.6;e;100.0;e;38.4;e
;;;March;83.5;e;77.9;e;83.5;e;77.8;e;100.0;e;38.4;e
;;;April;83.5;e;77.7;e;83.5;e;77.6;e;100.0;e;38.4;e
;;;May;83.8;e;77.9;e;83.8;e;77.9;e;100.0;e;38.4;e
;;;June;84.9;e;98.4;e;84.9;e;98.3;e;100.0;e;38.4;e
;;;July;85.0;e;79.1;e;85.0;e;79.1;e;100.0;e;38.4;e
;;;August;85.0;e;79.1;e;85.0;e;79.1;e;100.0;e;38.4;e
;;;September;85.6;e;79.8;e;85.6;e;79.9;e;100.0;e;38.4;e
;;;October;85.7;e;79.7;e;85.7;e;79.7;e;100.0;e;38.4;e
;;;November;85.8;e;113.6;e;85.8;e;113.7;e;100.0;e;38.4;e
;;;December;85.8;e;80.0;e;85.8;e;79.9;e;100.0;e;38.4;e
;;2014;January;85.8;e;79.8;e;85.8;e;79.8;e;100.0;e;38.4;e
;;;February;86.1;e;80.1;e;86.1;e;80.1;e;100.0;e;38.4;e
;;;March;86.1;e;80.0;e;86.1;e;79.9;e;100.0;e;38.4;e
;;;April;86.5;e;80.4;e;86.5;e;80.4;e;100.0;e;38.4;e
;;;May;86.9;e;83.0;e;86.9;e;82.9;e;100.0;e;38.4;e
;;;June;87.0;e;97.5;e;87.0;e;97.3;e;100.0;e;38.4;e
;;;July;87.2;e;81.1;e;87.2;e;81.2;e;100.0;e;38.4;e
;;;August;87.2;e;81.0;e;87.2;e;81.0;e;100.0;e;38.4;e
;;;September;87.7;e;81.5;e;87.7;e;81.5;e;100.0;e;38.4;e
;;;October;87.7;e;81.5;e;87.7;e;81.5;e;100.0;e;38.4;e
;;;November;87.7;e;116.3;e;87.7;e;116.3;e;100.0;e;38.4;e
;;;December;87.9;e;81.7;e;87.9;e;81.8;e;100.0;e;38.4;e
;;2015;January;87.3;e;79.8;e;87.3;e;79.8;e;100.0;e;37.9;e
;;;February;87.3;e;79.8;e;87.3;e;79.8;e;100.0;e;37.9;e
;;;March;87.3;e;80.4;e;87.3;e;80.4;e;100.0;e;37.9;e
;;;April;87.9;e;80.2;e;87.9;e;80.2;e;100.0;e;37.9;e
;;;May;88.1;e;80.5;e;88.1;e;80.5;e;100.0;e;37.9;e
;;;June;88.4;e;96.4;e;88.4;e;96.4;e;100.0;e;37.9;e
;;;July;89.1;e;81.7;e;89.1;e;81.7;e;100.0;e;37.9;e
;;;August;89.4;e;81.9;e;89.4;e;81.9;e;100.0;e;37.9;e
;;;September;89.5;e;81.7;e;89.5;e;81.7;e;100.0;e;37.9;e
;;;October;89.5;e;81.8;e;89.5;e;81.8;e;100.0;e;37.9;e
;;;November;89.5;e;148.1;e;89.5;e;148.1;e;100.0;e;37.9;e
;;;December;89.5;e;82.2;e;89.5;e;82.2;e;100.0;e;37.9;e
;;2016;January;89.6;e;81.9;e;89.6;e;81.9;e;100.0;e;37.9;e
;;;February;89.6;e;81.9;e;89.6;e;81.9;e;100.0;e;37.9;e
;;;March;89.6;e;81.9;e;89.6;e;81.9;e;100.0;e;37.9;e
;;;April;89.7;e;82.0;e;89.7;e;82.0;e;100.0;e;37.9;e
;;;May;89.7;e;82.0;e;89.7;e;82.0;e;100.0;e;37.9;e
;;;June;89.7;e;97.7;e;89.7;e;97.7;e;100.0;e;37.9;e
;;;July;91.4;e;84.4;e;91.4;e;84.4;e;100.0;e;37.9;e
;;;August;91.5;e;83.7;e;91.5;e;83.7;e;100.0;e;37.9;e
;;;September;91.6;e;83.7;e;91.6;e;83.7;e;100.0;e;37.9;e
;;;October;91.6;e;83.7;e;91.6;e;83.7;e;100.0;e;37.9;e
;;;November;91.6;e;151.1;e;91.6;e;151.1;e;100.0;e;37.9;e
;;;December;91.7;e;84.4;e;91.7;e;84.4;e;100.0;e;37.9;e
;;2017;January;91.8;e;83.8;e;91.8;e;83.8;e;100.0;e;37.9;e
;;;February;91.8;e;83.8;e;91.8;e;83.8;e;100.0;e;37.9;e
;;;March;91.8;e;83.8;e;91.8;e;83.8;e;100.0;e;37.9;e
;;;April;92.0;e;84.2;e;92.0;e;84.2;e;100.0;e;37.9;e
;;;May;92.4;e;84.4;e;92.4;e;84.4;e;100.0;e;37.9;e
;;;June;93.2;e;101.3;e;93.2;e;101.3;e;100.0;e;37.9;e
;;;July;93.3;e;85.2;e;93.3;e;85.2;e;100.0;e;37.9;e
;;;August;93.3;e;85.2;e;93.3;e;85.2;e;100.0;e;37.9;e
;;;September;93.4;e;85.4;e;93.4;e;85.4;e;100.0;e;37.9;e
;;;October;93.4;e;85.4;e;93.4;e;85.4;e;100.0;e;37.9;e
;;;November;93.4;e;153.6;e;93.4;e;153.6;e;100.0;e;37.9;e
;;;December;93.4;e;85.8;e;93.4;e;85.8;e;100.0;e;37.9;e
;;2018;January;93.9;e;87.3;e;93.9;e;87.3;e;100.0;e;37.9;e
;;;February;93.9;e;85.8;e;93.9;e;85.8;e;100.0;e;37.9;e
;;;March;93.9;e;86.2;e;93.9;e;86.2;e;100.0;e;37.9;e
;;;April;94.5;e;86.9;e;94.5;e;86.9;e;100.0;e;37.9;e
;;;May;94.6;e;86.5;e;94.6;e;86.5;e;100.0;e;37.9;e
;;;June;94.6;e;103.4;e;94.6;e;103.4;e;100.0;e;37.9;e
;;;July;96.5;e;89.0;e;96.5;e;89.0;e;100.0;e;37.9;e
;;;August;96.5;e;88.1;e;96.5;e;88.1;e;100.0;e;37.9;e
;;;September;96.6;e;88.4;e;96.6;e;88.4;e;100.0;e;37.9;e
;;;October;96.7;e;88.6;e;96.7;e;88.6;e;100.0;e;37.9;e
;;;November;96.8;e;160.2;e;96.8;e;160.2;e;100.0;e;37.9;e
;;;December;96.9;e;89.2;e;96.9;e;89.2;e;100.0;e;37.9;e
;;2019;January;96.9;e;88.5;e;96.9;e;88.5;e;100.0;e;37.9;e
;;;February;96.9;e;88.5;e;96.9;e;88.5;e;100.0;e;37.9;e
;;;March;97.0;e;88.8;e;97.0;e;88.8;e;100.0;e;37.9;e
;;;April;97.0;e;88.6;e;97.0;e;88.6;e;100.0;e;37.9;e
;;;May;97.1;e;88.7;e;97.1;e;88.7;e;100.0;e;37.9;e
;;;June;97.9;e;107.1;e;97.9;e;107.1;e;100.0;e;37.9;e
;;;July;98.8;e;96.0;e;98.8;e;96.0;e;100.0;e;37.9;e
;;;August;98.8;e;90.3;e;98.8;e;90.3;e;100.0;e;37.9;e
;;;September;99.0;e;90.6;e;99.0;e;90.6;e;100.0;e;37.9;e
;;;October;99.1;e;90.5;e;99.1;e;90.5;e;100.0;e;37.9;e
;;;November;99.1;e;164.1;e;99.1;e;164.1;e;100.0;e;37.9;e
;;;December;99.1;e;90.9;e;99.1;e;90.9;e;100.0;e;37.9;e
;;2020;January;99.4;e;90.9;e;99.4;e;90.9;e;100.0;e;38.2;e
;;;February;99.4;e;90.3;e;99.4;e;90.3;e;100.0;e;38.2;e
;;;March;99.4;e;90.4;e;99.4;e;90.4;e;100.0;e;38.2;e
;;;April;99.4;e;90.3;e;99.4;e;90.3;e;100.0;e;38.2;e
